QUERY	KO	BRITE	CAZY	COG	DISEASE	DRUG	ENZYME	GO	MODULE	NETWORK	PATHWAY	PUBMED	RCLASS	REACTION	TC	VP	DESCRIPTION
Unknown_BF302-01R0003_00009	K01886	br:br01613;br:ko00001;br:ko01000;br:ko01007;br:ko03016	NA	cog:COG0008	ds:H02132	NA	ec:6.1.1.18	go:0004819	NA	NA	path:ko00970;path:ko01100;path:map00970;path:map01100	pmid:18682559	rc:RC00055;rc:RC00523	rn:R03652	NA	NA	QARS, glnS; glutaminyl-tRNA synthetase
Unknown_BF302-01R0003_00010	K09766	br:ko00001	NA	cog:COG1655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K09766; uncharacterized protein
Unknown_BF302-01R0003_00011	K01940	br:ko00001;br:ko01000;br:ko04147	NA	cog:COG0137	ds:H00185;ds:H01398	NA	ec:6.3.4.5	go:0004055	md:M00029;md:M00844;md:M00845	NA	path:ko00220;path:ko00250;path:ko01100;path:ko01110;path:ko01230;path:ko05418;path:map00220;path:map00250;path:map01100;path:map01110;path:map01230;path:map05418	pmid:6194510	rc:RC00380;rc:RC00629	rn:R01954	NA	NA	argG, ASS1; argininosuccinate synthase
Unknown_BF302-01R0003_00012	K00145	br:ko00001;br:ko01000	NA	cog:COG0002	NA	NA	ec:1.2.1.38	go:0003942	md:M00028;md:M00845	NA	path:ko00220;path:ko01100;path:ko01110;path:ko01210;path:ko01230;path:map00220;path:map01100;path:map01110;path:map01210;path:map01230	pmid:2851495	rc:RC00684	rn:R03443	NA	NA	argC; N-acetyl-gamma-glutamyl-phosphate reductase
Unknown_BF302-01R0003_00013	K22477	br:ko00001;br:ko01000	NA	cog:COG0456	NA	NA	ec:2.3.1.1	go:0004042	md:M00028	NA	path:ko00220;path:ko01100;path:ko01110;path:ko01210;path:ko01230;path:map00220;path:map01100;path:map01110;path:map01210;path:map01230	pmid:10588044	rc:RC00004;rc:RC00064	rn:R00259	NA	NA	argO; N-acetylglutamate synthase
Unknown_BF302-01R0003_00014	K00930	br:ko00001;br:ko01000	NA	cog:COG0548	NA	NA	ec:2.7.2.8	go:0003991	md:M00028	NA	path:ko00220;path:ko01100;path:ko01110;path:ko01210;path:ko01230;path:map00220;path:map01100;path:map01110;path:map01210;path:map01230	pmid:2851495	rc:RC00002;rc:RC00043	rn:R02649	NA	NA	argB; acetylglutamate kinase
Unknown_BF302-01R0003_00015	K00821	br:ko00001;br:ko01000;br:ko01007	NA	cog:COG0160;cog:COG4992	NA	NA	ec:2.6.1.11;ec:2.6.1.17	go:0003992;go:0009016	md:M00016;md:M00028;md:M00845	NA	path:ko00220;path:ko00300;path:ko01100;path:ko01110;path:ko01120;path:ko01210;path:ko01230;path:map00220;path:map00300;path:map01100;path:map01110;path:map01120;path:map01210;path:map01230	pmid:10074354	rc:RC00006;rc:RC00062	rn:R02283;rn:R04475	NA	NA	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase
Unknown_BF302-01R0003_00016	K02237	br:ko00001;br:ko02044	NA	cog:COG1555	NA	NA	NA	NA	NA	NA	NA	pmid:7968523	NA	NA	tc:3.A.11.1;tc:3.A.11.2	NA	comEA; competence protein ComEA
Unknown_BF302-01R0003_00017	K07668	br:ko00001;br:ko02022	NA	cog:COG0745	NA	NA	NA	go:0000156	NA	NA	path:ko02020;path:map02020	pmid:17827301	NA	NA	NA	NA	vicR; two-component system, OmpR family, response regulator VicR
Unknown_BF302-01R0003_00019	K06298	br:ko00001	NA	cog:COG5401	NA	NA	NA	NA	NA	NA	NA	pmid:18562273;pmid:7926687	NA	NA	NA	NA	gerM; germination protein M
Unknown_BF302-01R0003_00020	K02238	br:ko00001;br:ko02044	NA	cog:COG0658;cog:COG2333	NA	NA	NA	NA	NA	NA	NA	pmid:7968523	NA	NA	tc:3.A.11.1;tc:3.A.11.2	NA	comEC; competence protein ComEC
Unknown_BF302-01R0003_00021	K02340	br:ko00001;br:ko01000;br:ko03032;br:ko03400	NA	cog:COG1466	NA	NA	ec:2.7.7.7	go:0003887	NA	NA	path:ko03030;path:ko03430;path:ko03440;path:map03030;path:map03430;path:map03440	pmid:15364574	NA	NA	NA	NA	holA; DNA polymerase III subunit delta
Unknown_BF302-01R0003_00022	K02968	br:br01610;br:ko00001;br:ko03011	NA	cog:COG0268	NA	NA	NA	go:0022627	NA	NA	path:ko03010;path:map03010	pmid:17277072	NA	NA	NA	NA	RP-S20, rpsT; small subunit ribosomal protein S20
